1	-84,24
1	3,37
1	-90,31
1	3,32
1	-82,65
1	3,14
1	-83,25
1	3,04
1	-89,80
1	2,90
1	-81,89
1	3,45
1	-87,56
1	3,18
2	-13,39
2	11,79
2	-13,05
2	11,64
2	-12,66
2	10,95
2	-12,70
2	11,50
2	-13,34
2	10,66
2	-12,80
2	10,11
2	-12,93
2	10.02
2	-12,72
2	10,78
3	-54,55
3	4,85
3	-60,83
3	7,75
3	-58,23
3	6,74
3	-54,12
3	4,54
3	-59,54
3	7,43
3	-57,78
3	4,56
3	-60,08
3	7,75
4	-47,65
4	4,64
4	-45,54
4	4,37
4	-45,32
4	4,35
4	-45,11
4	4,33
4	-44,79
4	4,38
4	-45,23
4	4,35
5	-60,51
5	3,35
5	-52,61
5	3,35
5	-49,05
5	3,23
5	-55,56
5	3,47
5	-54,78
5	3,52


